,Date,gain,total_gain
782,2023-05-16,0.5,2120.6999999999966
783,2023-05-17,-2.0,2118.6999999999966
784,2023-05-18,-4.2000000000000455,2114.4999999999964
785,2023-05-19,-1.4,2113.0999999999963
788,2023-05-22,2.7999999999999545,2115.899999999996
789,2023-05-23,11.600000000000136,2127.4999999999964
790,2023-05-24,2.5,2129.9999999999964
791,2023-05-25,1.0,2130.9999999999964
792,2023-05-26,0.0,2130.9999999999964
795,2023-05-29,11.699999999999818,2142.699999999996
796,2023-05-30,-1.5999999999996817,2141.0999999999967
797,2023-05-31,0.9000000000003183,2141.9999999999973
798,2023-06-01,2.400000000000091,2144.3999999999974
799,2023-06-02,14.0,2158.3999999999974
802,2023-06-05,8.5,2166.8999999999974
803,2023-06-06,9.0,2175.8999999999974
804,2023-06-07,0.6999999999998181,2176.599999999997
805,2023-06-08,-9.100000000000136,2167.4999999999973
806,2023-06-09,-6.599999999999909,2160.8999999999974
809,2023-06-12,-11.5,2149.3999999999974
810,2023-06-13,-7.599999999999909,2141.7999999999975
811,2023-06-14,-3.5,2138.2999999999975
812,2023-06-15,-2.7999999999999545,2135.4999999999973
813,2023-06-16,3.8999999999998636,2139.399999999997
816,2023-06-19,4.2000000000000455,2143.5999999999967
817,2023-06-20,3.6000000000001364,2147.199999999997
818,2023-06-21,15.799999999999955,2162.9999999999973
819,2023-06-22,-2.300000000000182,2160.699999999997
820,2023-06-23,5.2000000000000455,2165.899999999997
823,2023-06-26,-12.200000000000273,2153.6999999999966
824,2023-06-27,-0.6000000000001364,2153.0999999999967
825,2023-06-28,7.399999999999864,2160.4999999999964
826,2023-06-29,4.399999999999864,2164.899999999996
827,2023-06-30,-0.599999999999909,2164.299999999996
830,2023-07-03,2.599999999999909,2166.899999999996
831,2023-07-04,5.600000000000136,2172.4999999999964
832,2023-07-05,1.0,2173.4999999999964
833,2023-07-06,4.2000000000000455,2177.699999999996
834,2023-07-07,9.200000000000045,2186.899999999996
837,2023-07-10,11.799999999999955,2198.699999999996
838,2023-07-11,1.5,2200.199999999996
839,2023-07-12,3.900000000000091,2204.0999999999963
840,2023-07-13,13.5,2217.5999999999963
841,2023-07-14,-5.800000000000182,2211.799999999996
844,2023-07-17,-0.2999999999999545,2211.4999999999964
845,2023-07-18,3.2999999999999545,2214.7999999999965
846,2023-07-19,8.299999999999955,2223.0999999999967
847,2023-07-20,-3.0,2220.0999999999967
848,2023-07-21,22.5,2242.5999999999967
851,2023-07-24,-3.0,2239.5999999999967
852,2023-07-25,2.6000000000001364,2242.199999999997
853,2023-07-26,3.099999999999909,2245.299999999997
854,2023-07-27,-3.2999999999999545,2241.9999999999973
855,2023-07-28,16.700000000000045,2258.699999999997
858,2023-07-31,-11.5,2247.199999999997
859,2023-08-01,-14.5,2232.699999999997
860,2023-08-02,-2.0,2230.699999999997
861,2023-08-03,-9.799999999999955,2220.899999999997
862,2023-08-04,26.700000000000045,2247.5999999999967
865,2023-08-07,16.0,2263.5999999999967
866,2023-08-08,1.2000000000000455,2264.7999999999965
867,2023-08-09,-0.8999999999998636,2263.899999999997
868,2023-08-10,10.200000000000045,2274.0999999999967
869,2023-08-11,0.3999999999998636,2274.4999999999964
872,2023-08-14,-0.40000000000009095,2274.0999999999963
873,2023-08-15,-2.399999999999636,2271.6999999999966
874,2023-08-16,14.700000000000045,2286.399999999997
875,2023-08-17,-1.8999999999998636,2284.4999999999973
876,2023-08-18,49.899999999999636,2334.399999999997
879,2023-08-21,-6.599999999999909,2327.799999999997
880,2023-08-22,-14.5,2313.299999999997
881,2023-08-23,12.299999999999955,2325.5999999999967
882,2023-08-24,17.90000000000009,2343.499999999997
883,2023-08-25,-3.6000000000001364,2339.899999999997
886,2023-08-28,-6.299999999999727,2333.599999999997
887,2023-08-29,-2.800000000000182,2330.799999999997
888,2023-08-30,12.699999999999818,2343.499999999997
